Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,City,Region,Category,Sub_Category,Product_ID,Product_Name,Sales_Person,Quantity,Unit_Price,Discount,Sales,Profit,Shipping_Cost,Payment_Mode,Return_Status,Customer_Rating,Year,Month,Quarter
ORD-10011,9/28/2022,10/4/2022,Same Day,CUST-1779,Rohit Gupta,Corporate,Kolkata,East,Sports,Apparel,PROD-196,Apparel Model A,Rohit Gupta,19,2902.25,0.05,52385.61,14950.11,244.17,Debit Card,Yes,3,2022,September,Q3
ORD-10012,11/26/2023,12/3/2023,Standard Class,CUST-1751,Suresh Pillai,Home Office,Surat,West,Clothing,Shirts,PROD-385,Shirts Model D,Suresh Pillai,4,1280.85,0.05,4867.23,1026.43,50.65,Credit Card,No,1,2023,November,Q4
ORD-10013,12/7/2022,12/11/2022,Standard Class,CUST-2552,Sneha Nair,Home Office,Nagpur,West,Electronics,Laptops,PROD-102,Laptops Model D,Sneha Nair,16,2432.72,0.3,27246.46,4640.4,27,Credit Card,No,4,2022,December,Q4
ORD-10014,4/30/2022,5/5/2022,Second Class,CUST-3059,Sneha Nair,Consumer,Guwahati,East,Sports,Accessories,PROD-973,Accessories Model X,Sneha Nair,18,351.74,0.1,5698.19,382.63,179.41,Net Banking,No,1,2022,April,Q2
ORD-10015,9/3/2022,9/8/2022,Standard Class,CUST-3390,Suresh Pillai,Home Office,Bhopal,Central,Furniture,Chairs,PROD-678,Chairs Model X,Suresh Pillai,8,2915.65,0,23325.2,5500.42,131.58,Debit Card,No,3,2022,September,Q3
ORD-10016,10/10/2023,10/17/2023,Second Class,CUST-1300,Anita Joshi,Corporate,Hyderabad,South,Furniture,Shelves,PROD-650,Shelves Model B,Anita Joshi,3,96.11,0.2,230.66,80.62,298.87,Net Banking,No,2,2023,October,Q4
ORD-10017,9/12/2023,9/17/2023,Second Class,CUST-1424,Rohit Gupta,Corporate,Kolkata,East,Furniture,Shelves,PROD-999,Shelves Model B,Rohit Gupta,17,88.72,0.3,1055.77,228.45,280.21,Cash,No,1,2023,September,Q3
ORD-10018,6/25/2023,6/30/2023,Second Class,CUST-4397,Sneha Nair,Corporate,Amritsar,North,Furniture,Shelves,PROD-383,Shelves Model A,Sneha Nair,16,1293.05,0.3,14482.16,944.81,193.94,Net Banking,No,3,2023,June,Q2
ORD-10019,8/18/2022,8/19/2022,Same Day,CUST-2760,Amit Kumar,Home Office,Hyderabad,South,Furniture,Cabinets,PROD-230,Cabinets Model A,Amit Kumar,5,2750.67,0.3,9627.34,1547.74,170.23,UPI,No,3,2022,August,Q3
ORD-10020,4/12/2024,4/17/2024,Standard Class,CUST-4320,Rohit Gupta,Home Office,Lucknow,North,Furniture,Tables,PROD-281,Tables Model D,Rohit Gupta,5,4632.53,0.05,22004.52,6807.8,293.1,Net Banking,No,2,2024,April,Q2
ORD-10021,8/21/2024,8/23/2024,Standard Class,CUST-4568,Amit Kumar,Consumer,Guwahati,East,Furniture,Shelves,PROD-333,Shelves Model B,Amit Kumar,7,4092.1,0.15,24347.99,3771.44,247.96,Cash,No,2,2024,August,Q3
ORD-10022,11/10/2023,11/11/2023,First Class,CUST-2087,Suresh Pillai,Corporate,Ahmedabad,West,Office Supplies,Pens,PROD-139,Pens Model A,Suresh Pillai,4,4391.34,0.1,15808.82,1637.32,289.13,UPI,Yes,3,2023,November,Q4
ORD-10023,6/12/2024,6/13/2024,Second Class,CUST-4018,Amit Kumar,Corporate,Guwahati,East,Sports,Equipment,PROD-786,Equipment Model B,Amit Kumar,17,4631.6,0.2,62989.76,16128.98,282.68,Net Banking,No,4,2024,June,Q2
ORD-10024,9/26/2023,10/2/2023,Standard Class,CUST-2722,Rohit Gupta,Home Office,Lucknow,North,Sports,Footwear,PROD-780,Footwear Model D,Rohit Gupta,14,1664.61,0.25,17478.4,2424.19,46.91,Net Banking,No,5,2023,September,Q3
ORD-10025,10/22/2023,10/26/2023,First Class,CUST-4931,Suresh Pillai,Corporate,Raipur,Central,Clothing,Shirts,PROD-915,Shirts Model Y,Suresh Pillai,15,2238.69,0.05,31901.33,6487.21,240.18,Debit Card,No,1,2023,October,Q4
ORD-10026,2/12/2023,2/14/2023,Second Class,CUST-2865,Sneha Nair,Consumer,Ranchi,East,Sports,Footwear,PROD-524,Footwear Model Y,Sneha Nair,1,278.76,0.15,236.95,55.3,232.86,Net Banking,No,4,2023,February,Q1
ORD-10027,3/25/2023,3/27/2023,Standard Class,CUST-2869,Suresh Pillai,Home Office,Surat,West,Furniture,Tables,PROD-236,Tables Model Z,Suresh Pillai,17,2349.52,0.2,31953.47,3986.5,256.02,Credit Card,Yes,5,2023,March,Q1
ORD-10028,11/22/2022,11/28/2022,Same Day,CUST-4136,Anita Joshi,Home Office,Gwalior,Central,Office Supplies,Staples,PROD-896,Staples Model X,Anita Joshi,16,2277.85,0.3,25511.92,3167.86,194.92,UPI,Yes,2,2022,November,Q4
ORD-10029,6/15/2022,6/17/2022,First Class,CUST-2699,Divya Rao,Consumer,Guwahati,East,Electronics,Tablets,PROD-517,Tablets Model C,Divya Rao,5,1194.74,0.25,4480.27,429.4,72.05,Net Banking,Yes,4,2022,June,Q2
ORD-10030,9/3/2024,9/4/2024,Standard Class,CUST-2716,Suresh Pillai,Home Office,Chandigarh,North,Clothing,Shoes,PROD-651,Shoes Model Y,Suresh Pillai,12,1528.13,0.15,15586.93,4770.14,286.49,UPI,No,4,2024,September,Q3
ORD-10031,12/5/2022,12/12/2022,Same Day,CUST-3424,Suresh Pillai,Consumer,Hyderabad,South,Clothing,Shoes,PROD-677,Shoes Model Y,Suresh Pillai,15,4601.73,0.2,55220.76,11609.45,273.01,Net Banking,No,1,2022,December,Q4
ORD-10032,3/10/2023,3/14/2023,First Class,CUST-2726,Divya Rao,Consumer,Pune,West,Clothing,Trousers,PROD-358,Trousers Model Z,Divya Rao,11,1720.63,0.15,16087.89,2147.36,285.85,Cash,No,4,2023,March,Q1
ORD-10033,5/22/2023,5/24/2023,Standard Class,CUST-3310,Amit Kumar,Consumer,Amritsar,North,Electronics,Tablets,PROD-323,Tablets Model D,Amit Kumar,1,3125.61,0.05,2969.33,260.9,204.14,Credit Card,No,3,2023,May,Q2
ORD-10034,2/22/2022,2/25/2022,First Class,CUST-1311,Meena Iyer,Consumer,Mysuru,South,Sports,Equipment,PROD-706,Equipment Model Y,Meena Iyer,19,3402.87,0.15,54956.35,9287.42,217.35,Credit Card,No,1,2022,February,Q1
ORD-10035,11/2/2024,11/8/2024,Same Day,CUST-4935,Priya Sharma,Corporate,Ranchi,East,Electronics,Laptops,PROD-470,Laptops Model Y,Priya Sharma,11,112.63,0.15,1053.09,312.45,40.61,Net Banking,Yes,2,2024,November,Q4
ORD-10036,7/4/2023,7/7/2023,Same Day,CUST-4073,Suresh Pillai,Home Office,Pune,West,Sports,Footwear,PROD-575,Footwear Model X,Suresh Pillai,8,4162.12,0,33296.96,4451.09,140.73,Cash,Yes,3,2023,July,Q3
ORD-10037,11/29/2023,12/2/2023,Second Class,CUST-1782,Karan Mehta,Corporate,Jaipur,North,Office Supplies,Paper,PROD-187,Paper Model B,Karan Mehta,20,3520.86,0.1,63375.48,13735.83,159.82,Net Banking,Yes,4,2023,November,Q4
ORD-10038,3/30/2023,4/3/2023,Standard Class,CUST-2408,Karan Mehta,Corporate,Indore,Central,Clothing,Shoes,PROD-535,Shoes Model Y,Karan Mehta,8,1565.72,0.2,10020.61,1610.37,170.51,Credit Card,No,3,2023,March,Q1
ORD-10039,9/2/2022,9/8/2022,Standard Class,CUST-2983,Divya Rao,Consumer,Ahmedabad,West,Office Supplies,Binders,PROD-383,Binders Model Y,Divya Rao,18,4756.84,0.25,64217.34,6777.82,72.75,Debit Card,No,1,2022,September,Q3
ORD-10040,9/17/2022,9/20/2022,First Class,CUST-3612,Rohit Gupta,Consumer,Hyderabad,South,Furniture,Shelves,PROD-989,Shelves Model Z,Rohit Gupta,2,4872.76,0.2,7796.42,1073.11,283.79,Credit Card,Yes,1,2022,September,Q3
ORD-10041,4/16/2022,4/19/2022,Same Day,CUST-3578,Ravi Verma,Corporate,Amritsar,North,Office Supplies,Staples,PROD-802,Staples Model A,Ravi Verma,16,614.73,0,9835.68,1674.15,31.48,Net Banking,No,2,2022,April,Q2
ORD-10042,4/8/2023,4/15/2023,Same Day,CUST-2756,Meena Iyer,Consumer,Raipur,Central,Electronics,Phones,PROD-412,Phones Model X,Meena Iyer,17,1932.87,0.15,27929.97,3888.02,180.67,UPI,No,5,2023,April,Q2
ORD-10043,12/22/2022,12/27/2022,Standard Class,CUST-2192,Sneha Nair,Home Office,Chandigarh,North,Furniture,Shelves,PROD-133,Shelves Model B,Sneha Nair,3,824.84,0.15,2103.34,389.44,182.21,Debit Card,No,3,2022,December,Q4
ORD-10044,4/6/2023,4/12/2023,Second Class,CUST-4246,Priya Sharma,Home Office,Mumbai,West,Furniture,Shelves,PROD-414,Shelves Model X,Priya Sharma,5,4546.64,0.3,15913.24,1474.69,27.3,Cash,No,4,2023,April,Q2
ORD-10045,3/23/2022,3/27/2022,Same Day,CUST-4424,Priya Sharma,Corporate,Jaipur,North,Office Supplies,Staples,PROD-981,Staples Model X,Priya Sharma,11,3038.38,0,33422.18,2586.81,288.95,Cash,No,3,2022,March,Q1
ORD-10046,6/11/2024,6/17/2024,Same Day,CUST-3744,Ravi Verma,Home Office,Bhopal,Central,Furniture,Cabinets,PROD-207,Cabinets Model Z,Ravi Verma,16,4846.82,0.15,65916.75,10176.78,106.66,Net Banking,No,3,2024,June,Q2
ORD-10047,10/7/2023,10/10/2023,Standard Class,CUST-1004,Priya Sharma,Home Office,Surat,West,Office Supplies,Staples,PROD-773,Staples Model Z,Priya Sharma,11,623.81,0.3,4803.34,822.58,159.23,Cash,Yes,4,2023,October,Q4
ORD-10048,2/21/2023,2/24/2023,Same Day,CUST-1497,Amit Kumar,Home Office,Chandigarh,North,Sports,Footwear,PROD-129,Footwear Model Y,Amit Kumar,18,698.52,0.1,11316.02,2053.12,212.49,Cash,No,2,2023,February,Q1
ORD-10049,8/29/2022,9/4/2022,Second Class,CUST-2701,Anita Joshi,Consumer,Ranchi,East,Electronics,Accessories,PROD-954,Accessories Model D,Anita Joshi,5,2516.96,0.25,9438.6,1298.36,214.57,Credit Card,Yes,2,2022,August,Q3
ORD-10050,4/29/2024,5/2/2024,Second Class,CUST-3404,Karan Mehta,Consumer,Nagpur,West,Furniture,Cabinets,PROD-693,Cabinets Model Y,Karan Mehta,17,1372.5,0,23332.5,3146.43,96.58,Credit Card,Yes,2,2024,April,Q2
ORD-10051,1/22/2023,1/28/2023,Same Day,CUST-2303,Divya Rao,Corporate,Nagpur,West,Clothing,Jackets,PROD-862,Jackets Model D,Divya Rao,8,2880.4,0.05,21891.04,6716.26,129.12,Cash,Yes,4,2023,January,Q1
ORD-10052,7/24/2022,7/29/2022,First Class,CUST-1632,Anita Joshi,Home Office,Kochi,South,Electronics,Phones,PROD-176,Phones Model D,Anita Joshi,15,125.97,0.05,1795.07,310.54,199.89,Credit Card,No,3,2022,July,Q3
ORD-10053,3/15/2022,3/20/2022,Same Day,CUST-4058,Anita Joshi,Home Office,Jabalpur,Central,Electronics,Tablets,PROD-192,Tablets Model D,Anita Joshi,3,1212.11,0.25,2727.25,889.84,299.25,Net Banking,No,1,2022,March,Q1
ORD-10054,1/5/2024,1/8/2024,First Class,CUST-1737,Karan Mehta,Consumer,Pune,West,Office Supplies,Pens,PROD-274,Pens Model B,Karan Mehta,14,770.57,0.2,8630.38,1498.37,207.72,Credit Card,No,5,2024,January,Q1
ORD-10055,6/5/2023,6/9/2023,Second Class,CUST-3238,Anita Joshi,Home Office,Nagpur,West,Furniture,Cabinets,PROD-261,Cabinets Model A,Anita Joshi,9,3350.86,0.3,21110.42,4002.03,93.41,Debit Card,Yes,3,2023,June,Q2
ORD-10056,9/16/2024,9/17/2024,First Class,CUST-2209,Suresh Pillai,Corporate,Raipur,Central,Clothing,Jackets,PROD-122,Jackets Model Z,Suresh Pillai,8,1937.75,0.1,13951.8,3103.49,297.88,Debit Card,Yes,3,2024,September,Q3
ORD-10057,3/25/2023,3/31/2023,Second Class,CUST-3788,Divya Rao,Corporate,Amritsar,North,Electronics,Accessories,PROD-958,Accessories Model B,Divya Rao,7,3123.41,0.25,16397.9,4536.86,232.57,UPI,No,1,2023,March,Q1
ORD-10058,11/1/2023,11/7/2023,Second Class,CUST-2498,Karan Mehta,Home Office,Guwahati,East,Electronics,Tablets,PROD-643,Tablets Model X,Karan Mehta,14,919.42,0.05,12228.29,3496.73,264.17,Credit Card,No,2,2023,November,Q4
ORD-10059,4/8/2023,4/15/2023,Same Day,CUST-2616,Ravi Verma,Consumer,Guwahati,East,Office Supplies,Binders,PROD-114,Binders Model C,Ravi Verma,13,4837.99,0.3,44025.71,9562.11,36.19,Credit Card,No,4,2023,April,Q2
ORD-10060,8/23/2024,8/24/2024,First Class,CUST-3652,Sneha Nair,Home Office,Patna,East,Sports,Accessories,PROD-164,Accessories Model Y,Sneha Nair,20,4426.96,0.2,70831.36,10511.51,186.92,Credit Card,Yes,3,2024,August,Q3
ORD-10061,7/19/2022,7/21/2022,First Class,CUST-3852,Priya Sharma,Consumer,Mumbai,West,Furniture,Chairs,PROD-653,Chairs Model D,Priya Sharma,18,721.54,0.15,11039.56,1780.72,285.32,Cash,No,4,2022,July,Q3
ORD-10062,6/27/2024,7/1/2024,Standard Class,CUST-4693,Sneha Nair,Corporate,Jaipur,North,Sports,Accessories,PROD-760,Accessories Model C,Sneha Nair,8,4284.48,0,34275.84,11800.43,116.53,Net Banking,No,4,2024,June,Q2
ORD-10063,4/14/2022,4/21/2022,Second Class,CUST-4398,Amit Kumar,Consumer,Bhubaneswar,East,Electronics,Accessories,PROD-883,Accessories Model X,Amit Kumar,11,1255.67,0.05,13121.75,3754.05,69.51,UPI,No,5,2022,April,Q2
ORD-10064,9/24/2022,9/29/2022,Standard Class,CUST-1060,Ravi Verma,Home Office,Chennai,South,Office Supplies,Paper,PROD-466,Paper Model Z,Ravi Verma,9,4002.64,0,36023.76,8945.32,17.48,Net Banking,No,5,2022,September,Q3
ORD-10065,8/21/2022,8/27/2022,Second Class,CUST-2851,Rohit Gupta,Consumer,Kolkata,East,Furniture,Shelves,PROD-615,Shelves Model B,Rohit Gupta,3,2407.42,0.3,5055.58,801.87,182.16,Cash,No,5,2022,August,Q3
ORD-10066,10/1/2024,10/7/2024,Same Day,CUST-1516,Priya Sharma,Corporate,Guwahati,East,Electronics,Laptops,PROD-381,Laptops Model X,Priya Sharma,15,413.78,0,6206.7,910.11,53.02,Cash,No,4,2024,October,Q4
ORD-10067,3/17/2023,3/21/2023,Same Day,CUST-2703,Priya Sharma,Home Office,Gwalior,Central,Office Supplies,Staples,PROD-847,Staples Model A,Priya Sharma,15,4446.05,0.15,56687.14,8598.28,141.51,Credit Card,No,4,2023,March,Q1
ORD-10068,6/24/2022,6/25/2022,Same Day,CUST-1245,Priya Sharma,Home Office,Patna,East,Office Supplies,Paper,PROD-700,Paper Model X,Priya Sharma,14,527.99,0.25,5543.9,896.97,47.73,Credit Card,No,1,2022,June,Q2
ORD-10069,11/5/2024,11/7/2024,First Class,CUST-3278,Priya Sharma,Corporate,Ahmedabad,West,Clothing,Shirts,PROD-476,Shirts Model A,Priya Sharma,5,3300.84,0.05,15678.99,4769.27,111.53,Net Banking,No,5,2024,November,Q4
ORD-10070,7/14/2023,7/20/2023,First Class,CUST-3319,Ravi Verma,Home Office,Kochi,South,Sports,Equipment,PROD-773,Equipment Model D,Ravi Verma,10,4611.61,0.1,41504.49,2151.25,262.26,Credit Card,No,2,2023,July,Q3
ORD-10071,11/19/2022,11/22/2022,Same Day,CUST-4618,Divya Rao,Corporate,Delhi,North,Sports,Apparel,PROD-153,Apparel Model B,Divya Rao,10,3621.9,0.3,25353.3,8428,182.9,Cash,No,5,2022,November,Q4
ORD-10072,6/24/2024,6/28/2024,Same Day,CUST-2160,Meena Iyer,Home Office,Delhi,North,Office Supplies,Staples,PROD-794,Staples Model Y,Meena Iyer,9,1117.07,0.2,8042.9,676.77,134.67,Cash,Yes,5,2024,June,Q2
ORD-10073,9/10/2023,9/12/2023,Standard Class,CUST-4059,Sneha Nair,Home Office,Kolkata,East,Furniture,Cabinets,PROD-540,Cabinets Model B,Sneha Nair,5,3832.6,0.1,17246.7,2560.04,12.24,Credit Card,No,4,2023,September,Q3
ORD-10074,2/8/2022,2/12/2022,Same Day,CUST-3622,Suresh Pillai,Consumer,Indore,Central,Sports,Footwear,PROD-527,Footwear Model C,Suresh Pillai,3,4317.44,0.2,10361.86,1852.55,127.28,Credit Card,No,4,2022,February,Q1
ORD-10075,8/5/2022,8/7/2022,First Class,CUST-4054,Suresh Pillai,Home Office,Lucknow,North,Furniture,Cabinets,PROD-447,Cabinets Model B,Suresh Pillai,14,2964.91,0.2,33206.99,2443.84,262.45,Credit Card,No,2,2022,August,Q3
ORD-10076,7/30/2022,8/1/2022,First Class,CUST-1308,Sneha Nair,Corporate,Amritsar,North,Electronics,Phones,PROD-281,Phones Model Z,Sneha Nair,9,1026.5,0.2,7390.8,708.49,230.15,Debit Card,Yes,4,2022,July,Q3
ORD-10077,5/20/2022,5/24/2022,First Class,CUST-3078,Anita Joshi,Home Office,Gwalior,Central,Clothing,Jackets,PROD-175,Jackets Model C,Anita Joshi,15,3175.36,0.3,33341.28,4414.46,26.29,Debit Card,Yes,4,2022,May,Q2
ORD-10078,11/4/2024,11/8/2024,Standard Class,CUST-4723,Meena Iyer,Consumer,Delhi,North,Office Supplies,Binders,PROD-929,Binders Model X,Meena Iyer,15,2922.63,0.3,30687.62,8337.1,21.9,UPI,No,3,2024,November,Q4
ORD-10079,6/22/2022,6/27/2022,Same Day,CUST-3141,Divya Rao,Consumer,Jabalpur,Central,Sports,Apparel,PROD-724,Apparel Model B,Divya Rao,6,243.75,0.25,1096.88,198.89,137.43,Credit Card,No,3,2022,June,Q2
ORD-10080,11/7/2023,11/8/2023,Standard Class,CUST-4950,Priya Sharma,Home Office,Guwahati,East,Clothing,Jackets,PROD-717,Jackets Model Z,Priya Sharma,18,3407.98,0.1,55209.28,6934.22,256.95,Net Banking,No,3,2023,November,Q4
ORD-10081,6/23/2022,6/26/2022,Same Day,CUST-3878,Meena Iyer,Corporate,Amritsar,North,Furniture,Shelves,PROD-948,Shelves Model Y,Meena Iyer,18,1914.56,0.3,24123.46,3583.37,47.06,Debit Card,No,4,2022,June,Q2
ORD-10082,9/22/2024,9/24/2024,Second Class,CUST-1414,Divya Rao,Corporate,Raipur,Central,Electronics,Tablets,PROD-619,Tablets Model Z,Divya Rao,8,4999.88,0.05,37999.09,2779.62,254.88,Debit Card,No,3,2024,September,Q3
ORD-10083,12/6/2022,12/12/2022,Second Class,CUST-2819,Meena Iyer,Consumer,Indore,Central,Sports,Accessories,PROD-725,Accessories Model C,Meena Iyer,15,266.28,0.1,3594.78,909.15,78.88,Debit Card,Yes,2,2022,December,Q4
ORD-10084,8/3/2024,8/10/2024,First Class,CUST-4345,Anita Joshi,Consumer,Indore,Central,Office Supplies,Staples,PROD-304,Staples Model Z,Anita Joshi,10,3901.71,0.2,31213.68,6499.87,290.22,UPI,No,3,2024,August,Q3
ORD-10085,11/25/2022,11/28/2022,Standard Class,CUST-4729,Priya Sharma,Home Office,Jaipur,North,Office Supplies,Pens,PROD-327,Pens Model Z,Priya Sharma,15,4531.27,0.05,64570.6,19326.89,36.6,Net Banking,Yes,3,2022,November,Q4
ORD-10086,6/17/2022,6/20/2022,First Class,CUST-4241,Suresh Pillai,Home Office,Jaipur,North,Electronics,Accessories,PROD-249,Accessories Model B,Suresh Pillai,8,189.53,0,1516.24,457.53,198.49,Debit Card,No,3,2022,June,Q2
ORD-10087,6/9/2023,6/11/2023,Standard Class,CUST-4179,Amit Kumar,Home Office,Pune,West,Clothing,Shoes,PROD-395,Shoes Model B,Amit Kumar,5,2766.58,0.25,10374.67,2413.81,132.74,Credit Card,No,1,2023,June,Q2
ORD-10088,2/3/2022,2/9/2022,Standard Class,CUST-3518,Meena Iyer,Consumer,Chandigarh,North,Clothing,Shoes,PROD-461,Shoes Model B,Meena Iyer,17,2896.48,0.25,36930.12,3437.2,134.48,Cash,Yes,2,2022,February,Q1
ORD-10089,3/31/2022,4/6/2022,Standard Class,CUST-1276,Anita Joshi,Home Office,Amritsar,North,Office Supplies,Pens,PROD-453,Pens Model B,Anita Joshi,13,4906.15,0.1,57401.96,15739.33,113.56,Cash,No,5,2022,March,Q1
ORD-10090,9/7/2024,9/13/2024,First Class,CUST-1151,Anita Joshi,Home Office,Bhubaneswar,East,Electronics,Tablets,PROD-400,Tablets Model B,Anita Joshi,6,4066.91,0,24401.46,6461.84,283.65,Debit Card,No,2,2024,September,Q3
ORD-10091,1/27/2023,1/30/2023,Same Day,CUST-1509,Amit Kumar,Home Office,Lucknow,North,Office Supplies,Staples,PROD-918,Staples Model C,Amit Kumar,12,4317.59,0,51811.08,16047.94,106.26,Net Banking,Yes,4,2023,January,Q1
ORD-10092,7/1/2023,7/8/2023,Same Day,CUST-1739,Rohit Gupta,Corporate,Surat,West,Office Supplies,Paper,PROD-658,Paper Model C,Rohit Gupta,3,3649.05,0,10947.15,1961.53,298.58,Net Banking,No,1,2023,July,Q3
ORD-10093,12/21/2023,12/25/2023,Same Day,CUST-3619,Anita Joshi,Corporate,Lucknow,North,Office Supplies,Binders,PROD-910,Binders Model A,Anita Joshi,2,3647.73,0.1,6565.91,1539.41,136.13,Debit Card,No,4,2023,December,Q4
ORD-10094,5/18/2022,5/20/2022,Same Day,CUST-2842,Ravi Verma,Consumer,Ranchi,East,Furniture,Chairs,PROD-479,Chairs Model C,Ravi Verma,12,1842.65,0.2,17689.44,1056.34,54.5,Credit Card,Yes,1,2022,May,Q2
ORD-10095,8/21/2022,8/22/2022,First Class,CUST-4174,Sneha Nair,Corporate,Indore,Central,Sports,Footwear,PROD-366,Footwear Model Y,Sneha Nair,6,2520.27,0.15,12853.38,4165.3,44.15,Net Banking,Yes,2,2022,August,Q3
ORD-10096,12/20/2022,12/26/2022,Second Class,CUST-2309,Anita Joshi,Consumer,Raipur,Central,Clothing,Trousers,PROD-783,Trousers Model C,Anita Joshi,15,4986.45,0.3,52357.72,13329.16,255.2,Credit Card,No,5,2022,December,Q4
ORD-10097,4/5/2023,4/6/2023,Second Class,CUST-3269,Rohit Gupta,Home Office,Raipur,Central,Office Supplies,Paper,PROD-686,Paper Model C,Rohit Gupta,7,3970.73,0.05,26405.35,7581.29,17.62,Net Banking,Yes,5,2023,April,Q2
ORD-10098,4/21/2024,4/28/2024,Same Day,CUST-1303,Rohit Gupta,Corporate,Mysuru,South,Electronics,Laptops,PROD-560,Laptops Model D,Rohit Gupta,14,4125.53,0,57757.42,5059.44,101.94,Cash,No,2,2024,April,Q2
ORD-10099,11/10/2022,11/13/2022,Standard Class,CUST-3125,Rohit Gupta,Corporate,Gwalior,Central,Furniture,Tables,PROD-390,Tables Model Z,Rohit Gupta,6,851.74,0.25,3832.83,450.9,284.77,Credit Card,No,3,2022,November,Q4
ORD-10100,7/11/2022,7/16/2022,First Class,CUST-3951,Rohit Gupta,Home Office,Mysuru,South,Office Supplies,Paper,PROD-719,Paper Model C,Rohit Gupta,6,2979.45,0.2,14301.36,1376.62,201.03,UPI,No,1,2022,July,Q3
ORD-10101,3/4/2022,3/8/2022,Second Class,CUST-3805,Suresh Pillai,Home Office,Delhi,North,Sports,Footwear,PROD-515,Footwear Model C,Suresh Pillai,18,1483.87,0.1,24038.69,4684.74,243.36,UPI,Yes,1,2022,March,Q1
ORD-10102,10/22/2022,10/25/2022,Same Day,CUST-4115,Divya Rao,Corporate,Chandigarh,North,Clothing,Shoes,PROD-479,Shoes Model X,Divya Rao,11,3684.29,0.3,28369.03,4357.8,125.63,Debit Card,No,3,2022,October,Q4
ORD-10103,4/14/2022,4/17/2022,Second Class,CUST-1654,Priya Sharma,Corporate,Kochi,South,Electronics,Tablets,PROD-933,Tablets Model C,Priya Sharma,13,4327.61,0.15,47820.09,5952.7,260.94,Debit Card,No,2,2022,April,Q2
ORD-10104,7/4/2022,7/8/2022,First Class,CUST-1207,Amit Kumar,Corporate,Kochi,South,Sports,Accessories,PROD-388,Accessories Model D,Amit Kumar,17,2313.29,0.05,37359.63,4279.3,112.34,Cash,Yes,3,2022,July,Q3
ORD-10105,1/20/2024,1/21/2024,First Class,CUST-1301,Suresh Pillai,Consumer,Bhopal,Central,Electronics,Accessories,PROD-495,Accessories Model X,Suresh Pillai,13,303.23,0.2,3153.59,341.84,170.43,Net Banking,Yes,5,2024,January,Q1
